title,time,authors,link
Expertise validation in AWS data analytics with AWS Certification,2020-03-30T15:09:45+00:00,"['Beth Shepherd', 'Imtiaz Sayed']",https://aws.amazon.com/blogs/big-data/expertise-validation-in-aws-data-analytics-with-aws-certification/
Speeding up Etleap models at AXS with Amazon Redshift materialized views,2020-03-20T15:26:38+00:00,"['Christian Romming', 'Prasad Varakur', 'Vuk Ercegovac', 'Yannis Papakonstantinou']",https://aws.amazon.com/blogs/big-data/speeding-up-etleap-models-at-axs-with-amazon-redshift-materialized-views/
Ingest Excel data automatically into Amazon QuickSight,2020-03-19T14:25:55+00:00,['Ying Wang'],https://aws.amazon.com/blogs/big-data/ingest-excel-data-automatically-into-amazon-quicksight/
Lower your costs with the new pause and resume actions on Amazon Redshift,2020-03-11T17:26:02+00:00,['Sain Das'],https://aws.amazon.com/blogs/big-data/lower-your-costs-with-the-new-pause-and-resume-actions-on-amazon-redshift/
Tune Hadoop and Spark performance with Dr. Elephant and Sparklens on Amazon EMR,2020-03-11T11:42:34+00:00,"['Nivas Shankar', 'Mert Hocanin']",https://aws.amazon.com/blogs/big-data/tune-hadoop-and-spark-performance-with-dr-elephant-and-sparklens-on-amazon-emr/
Govern how your clients interact with Apache Kafka using API Gateway,2020-03-04T09:24:29+00:00,"['Prasad Alle', 'Francisco Oliveira']",https://aws.amazon.com/blogs/big-data/govern-how-your-clients-interact-with-apache-kafka-using-api-gateway/
Integrate Power BI with Amazon Redshift for insights and analytics,2020-02-25T14:34:23+00:00,"['Vu Le', 'Po Hong']",https://aws.amazon.com/blogs/big-data/integrate-power-bi-with-amazon-redshift-for-insights-and-analytics/
Streaming ETL with Apache Flink and Amazon Kinesis Data Analytics,2020-02-21T13:16:56+00:00,['Steffen Hausmann'],https://aws.amazon.com/blogs/big-data/streaming-etl-with-apache-flink-and-amazon-kinesis-data-analytics/
How Siemens built a fully managed scheduling mechanism for updates on Amazon S3 data lakes,2020-02-20T08:30:35+00:00,"['Pedro Bento', 'Arturo Bayo']",https://aws.amazon.com/blogs/big-data/how-siemens-built-a-fully-managed-scheduling-mechanism-for-consistent-updates-on-amazon-s3-data-lakes/
Load data incrementally and optimized Parquet writer with AWS Glue,2020-02-14T12:06:44+00:00,"['Mohit Saxena', 'Bijay Bisht']",https://aws.amazon.com/blogs/big-data/load-data-incrementally-and-optimized-parquet-writer-with-aws-glue/
Build machine learning-powered business intelligence analyses using Amazon QuickSight,2020-01-31T14:34:46+00:00,['Osemeke Isibor'],https://aws.amazon.com/blogs/big-data/build-machine-learning-powered-business-intelligence-analyses-using-amazon-quicksight/
Analyze your Amazon S3 spend using AWS Glue and Amazon Redshift,2020-01-24T15:19:07+00:00,['Shayon Sanyal'],https://aws.amazon.com/blogs/big-data/analyze-your-amazon-s3-spend-using-aws-glue-and-amazon-redshift/
Cross-account AWS Glue Data Catalog access with Amazon Athena,2020-01-21T14:03:32+00:00,['Pathik Shah'],https://aws.amazon.com/blogs/big-data/cross-account-aws-glue-data-catalog-access-with-amazon-athena/
How FactSet automated exporting data from Amazon DynamoDB to Amazon S3 Parquet to build a data analytics platform,2020-01-17T17:30:16+00:00,"['Arvind Godbole', 'Tarik Makota']",https://aws.amazon.com/blogs/big-data/how-factset-automated-exporting-data-from-amazon-dynamodb-to-amazon-s3-parquet-to-build-a-data-analytics-platform/
Amazon Redshift at re:Invent 2019,2020-01-10T14:19:50+00:00,['Corina Radovanovich'],https://aws.amazon.com/blogs/big-data/amazon-redshift-at-reinvent-2019/
How Verizon Media Group migrated from on-premises Apache Hadoop and Spark to Amazon EMR,2020-01-09T12:35:38+00:00,"['Lev Brailovskiy', 'Zilvinas Shaltys']",https://aws.amazon.com/blogs/big-data/how-verizon-media-group-migrated-from-on-premises-apache-hadoop-and-spark-to-amazon-emr/
Maximize data ingestion and reporting performance on Amazon Redshift,2020-01-02T09:34:40+00:00,"['Vasu Kiran Gorti', 'Ajit Pathak']",https://aws.amazon.com/blogs/big-data/maximize-data-ingestion-and-reporting-performance-on-amazon-redshift/
Amazon QuickSight: 2019 in review,2019-12-31T14:44:11+00:00,"['Jose Kunnackal', 'Sahitya Pandiri']",https://aws.amazon.com/blogs/big-data/amazon-quicksight-2019-in-review/
Working with nested data types using Amazon Redshift Spectrum,2019-12-23T13:55:57+00:00,['Juan Yu'],https://aws.amazon.com/blogs/big-data/working-with-nested-data-types-using-amazon-redshift-spectrum/
"Collect and distribute high-resolution crypto market data with ECS, S3, Athena, Lambda, and AWS Data Exchange",2019-12-20T17:28:16+00:00,['Jared Katz'],https://aws.amazon.com/blogs/big-data/collect-and-distribute-high-resolution-crypto-market-data-with-ecs-s3-athena-lambda-and-aws-data-exchange/
Under the hood: Scaling your Kinesis data streams,2019-12-17T10:40:19+00:00,['Ahmed Gaafar'],https://aws.amazon.com/blogs/big-data/under-the-hood-scaling-your-kinesis-data-streams/
ETL and ELT design patterns for lake house architecture using Amazon Redshift: Part 2,2019-12-13T18:19:40+00:00,"['Asim Kumar Sasmal', 'Maor Kleider']",https://aws.amazon.com/blogs/big-data/etl-and-elt-design-patterns-for-lake-house-architecture-using-amazon-redshift-part-2/
ETL and ELT design patterns for lake house architecture using Amazon Redshift: Part 1,2019-12-13T18:17:38+00:00,"['Asim Kumar Sasmal', 'Maor Kleider']",https://aws.amazon.com/blogs/big-data/etl-and-elt-design-patterns-for-lake-house-architecture-using-amazon-redshift-part-1/
Matching patient records with the AWS Lake Formation FindMatches transform,2019-12-09T11:49:58+00:00,"['Dhawalkumar Patel', 'Ujjwal Ratan']",https://aws.amazon.com/blogs/big-data/matching-patient-records-with-the-aws-lake-formation-findmatches-transform/
Highlight the breadth of your data and analytics technical expertise with new AWS Certification beta,2019-11-27T11:57:33+00:00,"['Beth Shepherd', 'Bill Baldwin']",https://aws.amazon.com/blogs/big-data/highlight-the-breadth-of-your-data-and-analytics-technical-expertise-with-new-aws-certification-beta/
"Extract, Transform and Load data into S3 data lake using CTAS and INSERT INTO statements in Amazon Athena",2019-11-26T17:24:31+00:00,['Pathik Shah'],https://aws.amazon.com/blogs/big-data/extract-transform-and-load-data-into-s3-data-lake-using-ctas-and-insert-into-statements-in-amazon-athena/
Connect Amazon Athena to your Apache Hive Metastore and use user-defined functions,2019-11-26T17:22:42+00:00,['Janak Agarwal'],https://aws.amazon.com/blogs/big-data/connect-amazon-athena-to-your-apache-hive-metastore-and-use-user-defined-functions/
Prepare data for model-training and invoke machine learning models with Amazon Athena,2019-11-26T17:20:54+00:00,"['Janak Agarwal', 'Ronak Shah']",https://aws.amazon.com/blogs/big-data/prepare-data-for-model-training-and-invoke-machine-learning-models-with-amazon-athena/
Query any data source with Amazon Athena\xe2\x80\x99s new federated query,2019-11-26T17:19:08+00:00,['Janak Agarwal'],https://aws.amazon.com/blogs/big-data/query-any-data-source-with-amazon-athenas-new-federated-query/
